Compiling for 128 parallel environments...
Compilation time: 1.0869s
Running benchmark (1 samples)...

Results saved to: times.json
Collecting data...
Generating '/tmp/nsys-report-7638.qdstrm'

[1/8] [0%                          ] octax_nsys.nsys-rep
[1/8] [========================100%] octax_nsys.nsys-rep

[2/8] [0%                          ] octax_nsys.sqlite
[2/8] [========================100%] octax_nsys.sqlite
[3/8] Executing 'nvtx_sum' stats report

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)    Style                                                  Range                                                
      0,0           19 617          1         19 617,0         19 617,0         19 617         19 617           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_broadcast_in_dim,program_id=31#           
      0,0           19 581          1         19 581,0         19 581,0         19 581         19 581           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_convert_element_type,program_id=23#                    
      0,0           19 568          1         19 568,0         19 568,0         19 568         19 568           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=83#                         
      0,0           19 543          4          4 885,0          2 046,0          1 777         13 674       5 861,0  PushPop  TSL:XlaPass:#name=call-inliner,module=jit_floor_divide,program_id=55#                               
      0,0           19 454          1         19 454,0         19 454,0         19 454         19 454           0,0  PushPop  TSL:XlaPassPipeline:#name=post-fusion optimization,module=jit__threefry_seed,program_id=5#          
      0,0           19 433          1         19 433,0         19 433,0         19 433         19 433           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=81#                         
      0,0           19 386          1         19 386,0         19 386,0         19 386         19 386           0,0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_broadcast_in_dim,program_id=33#                        
      0,0           19 318          1         19 318,0         19 318,0         19 318         19 318           0,0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_broadcast_in_dim,program_id=69#                         
      0,0           19 284          1         19 284,0         19 284,0         19 284         19 284           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=75#                      
      0,0           19 274          1         19 274,0         19 274,0         19 274         19 274           0,0  PushPop  TSL:XlaPassPipeline:#name=remove-no-op-reduce-precision-algebraic-simplifier,module=jit__threefry_s…
      0,0           19 252          1         19 252,0         19 252,0         19 252         19 252           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=33#                         
      0,0           19 219          1         19 219,0         19 219,0         19 219         19 219           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit__squeeze,program_id=45#                                 
      0,0           19 206          1         19 206,0         19 206,0         19 206         19 206           0,0  PushPop  TSL:XlaPassPipeline:#name=remat-pipeline,module=jit_multiply,program_id=61#                         
      0,0           19 192          1         19 192,0         19 192,0         19 192         19 192           0,0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit__squeeze,program_id=39#               
      0,0           19 191          1         19 191,0         19 191,0         19 191         19 191           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_broadcast_in_dim,program_id=73#           
      0,0           19 157          1         19 157,0         19 157,0         19 157         19 157           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-spmd-partitioner,module=jit_convert_element_type,program_id=43#       
      0,0           19 155          1         19 155,0         19 155,0         19 155         19 155           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=71#                         
      0,0           19 154          4          4 788,0          1 989,0          1 588         13 588       5 869,0  PushPop  TSL:XlaPass:#name=call-inliner,module=jit_remainder,program_id=57#                                  
      0,0           19 137          1         19 137,0         19 137,0         19 137         19 137           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=77#                         
      0,0           19 123          1         19 123,0         19 123,0         19 123         19 123           0,0  PushPop  TSL:Thunk:#name=jit(subtract)/sub,hlo_op=wrapped_subtract#                                          
      0,0           19 105          1         19 105,0         19 105,0         19 105         19 105           0,0  PushPop  TSL:XlaPassPipeline:#name=annotate-host-compute,module=jit_rollout,program_id=87#                   
      0,0           19 097          1         19 097,0         19 097,0         19 097         19 097           0,0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_broadcast_in_dim,program_id=13#                         
      0,0           19 067          1         19 067,0         19 067,0         19 067         19 067           0,0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit_convert_element_type,program_id=1#                      
      0,0           19 056          1         19 056,0         19 056,0         19 056         19 056           0,0  PushPop  TSL:XlaPass:#name=host-offload-legalize,module=jit_rollout,program_id=87#                           
      0,0           18 981          1         18 981,0         18 981,0         18 981         18 981           0,0  PushPop  TSL:XlaPass:#name=rematerialization,module=jit__threefry_seed,program_id=5#                         
      0,0           18 976          1         18 976,0         18 976,0         18 976         18 976           0,0  PushPop  TSL:XlaPassPipeline:#name=pre-scheduling-passes,module=jit_broadcast_in_dim,program_id=77#          
      0,0           18 965          1         18 965,0         18 965,0         18 965         18 965           0,0  PushPop  TSL:XlaPass:#name=layout-assignment,module=jit_broadcast_in_dim,program_id=77#                      
      0,0           18 815          1         18 815,0         18 815,0         18 815         18 815           0,0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit_convert_element_type,program_id=15#                     
      0,0           18 768          1         18 768,0         18 768,0         18 768         18 768           0,0  PushPop  TSL:XlaPass:#name=remat-pipeline,module=jit_broadcast_in_dim,program_id=13#                         
